specimenAgingtime;specimenAgingT;specimenCreepStress;specimenMaterialStateName;specimen_ID;tEMProcess;transmissionElectronMicroscope;manufacturerSeries;tEMManufacturer;calibrationFactor;dFImage_ID;precipitateGeometryMeasurement;particleNumber;particleArea;weightedXPositionCentralPoint;weightedYPositionCentralPoint;perimeter;elipseFitMajorAxis;elipseFitMinorAxis;particleRadius_nm;labDFImage_ID;softwareAgent;;;
0;0;0;T61;T61_1;tEMProcess_79;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_79;T61_1_1_79;875;1760.645;1026.818;109.154;35.105;31.736;2.5033429418;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_80;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_80;T61_1_1_80;309;1626.5;1019.536;66.527;23.858;16.491;1.4876321735;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_81;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_81;T61_1_1_81;786;1662.099;1037.922;103.397;32.684;30.619;2.3726167700;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_82;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_82;T61_1_1_82;570;1897.093;1037.095;89.841;28.747;25.246;2.0204762533;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_83;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_83;T61_1_1_83;252;253.476;1040.397;58.527;18.928;16.952;1.3434347973;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_84;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_84;T61_1_1_84;803;827.93;1046.791;104.569;34.502;29.633;2.3981375833;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_85;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_85;T61_1_1_85;701;1523.792;1058.745;99.64;34.729;25.7;2.2406567519;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_86;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_86;T61_1_1_86;376;1887.069;1106.941;72.184;24.974;19.169;1.6410062880;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_87;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_87;T61_1_1_87;1448;1209.181;1127.173;146.267;47.081;39.159;3.2203316742;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_88;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_88;T61_1_1_88;516;350.32;1129.293;84.426;27.837;23.601;1.9223885608;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_89;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_89;T61_1_1_89;504;1478.544;1137.165;83.841;28.92;22.189;1.8999037105;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_90;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_90;T61_1_1_90;86;1387.453;1143.477;33.213;11.139;9.83;0.7848118435;L_T61_1_1;ImageJ;;;
0;0;0;T61;T61_1;tEMProcess_91;tEM;STEM_JEOL_JEM_2200_FS;JEOL;0.0225;T61_1_1;precipitateGeometryMeasurementProcess_91;T61_1_1_91;6956;1919.63;1183.01;327.563;110.495;80.154;7.0582349271;L_T61_1_1;ImageJ;;;
